"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"82","Agricultural and Food Science Technicians",0.97335,35,"Ð","Ð","Ð","Ð"
"83","Biological Technicians",0.29909,17,"Ð","Ð","Ð","Ð"
"84","Chemical Technicians",0.56585,76,"34.6","14.9","8.2","12.9"
"85","Geological and Petroleum Technicians",0.91284,18,"Ð","Ð","Ð","Ð"
"86","Nuclear Technicians",0.85212,5,"Ð","Ð","Ð","Ð"
"87","Social Science Research Assistants",0.64603,2,"Ð","Ð","Ð","Ð"
"88","Probation Officers and Correctional Treatment Specialists",0.25085,102,"57.4","21.0","1.3","14.3"
"89","Social and Human Service Assistants",0.13092,184,"80.5","21.6","2.6","14.1"
"90","Clergy",0.0080615,436,"17.6","11.8","5.9","9.1"
"91","Directors Religious Activities and Education",0.024856,78,"55.0","3.1","4.2","9.9"
"92","Lawyers",0.034587,1133,"35.7","4.4","4.7","5.6"
"93","Judicial Law Clerks",0.40884,15,"Ð","Ð","Ð","Ð"
"94","Paralegals and Legal Assistants",0.94457,433,"86.7","10.2","3.5","16.2"
"95","Postsecondary Teachers",0.032494,1420,"48.3","7.0","12.3","6.9"
"96","Librarians",0.64945,190,"83.8","7.5","5.8","7.1"
"97","Library Technicians",0.98616,37,"Ð","Ð","Ð","Ð"
"98","Teacher Assistants",0.55672,950,"89.3","14.8","3.4","17.3"
"99","Actors",0.37445,47,"Ð","Ð","Ð","Ð"
"100","Producers and Directors",0.021637,173,"38.5","3.6","4.6","6.3"
"101","Public Relations Specialists",0.17529,121,"58.9","8.2","1.7","7.3"
